"DATE","value_TMAX","value_TMIN","value_TAVG","value_CLDD","value_HTDD","flags_TMAX","flags_TMIN","flags_TAVG","flags_CLDD","flags_HTDD"
"1950-10-01","18.75","10.359999656677246","14.550000190734863","5.300000190734863","122.4000015258789","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-11-01","12.170000076293945","4.75","8.430000305175781","1.7000000476837158","279.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-12-01","4.949999809265137","-1.3799999952316284","1.7799999713897705","0.0","513.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-01-01","5.579999923706055","-1.6299999952316284","2.4200000762939453","0.0","445.70001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-02-01","5.510000228881836","-1.6399999856948853","1.840000033378601","0.0","445.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-03-01","7.699999809265137","1.6799999475479126","4.690000057220459","0.0","422.79998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-04-01","14.40999984741211","6.869999885559082","10.640000343322754","0.30000001192092896","231.1999969482422","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-05-01","20.510000228881836","11.630000114440918","16.06999969482422","10.899999618530273","81.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-06-01","23.34000015258789","16.31999969482422","19.829999923706055","61.29999923706055","16.299999237060547","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-07-01","26.90999984741211","19.860000610351562","23.3799991607666","156.5","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-08-01","26.270000457763672","19.469999313354492","22.8700008392334","140.6999969482422","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-09-01","23.40999984741211","15.59000015258789","19.5","58.29999923706055","23.299999237060547","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-10-01","18.1200008392334","10.800000190734863","14.460000038146973","10.600000381469727","130.6999969482422","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-11-01","10.069999694824219","2.5199999809265137","6.159999847412109","0.0","340.8999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1951-12-01","6.869999885559082","-0.27000001072883606","3.299999952316284","0.0","466.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-01-01","5.289999961853027","-1.1699999570846558","2.059999942779541","0.0","504.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-02-01","5.199999809265137","-0.8399999737739563","2.180000066757202","0.0","468.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-03-01","6.920000076293945","1.0499999523162842","3.990000009536743","0.0","444.70001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-04-01","15.390000343322754","7.730000019073486","11.5600004196167","3.9000000953674316","207.10000610351562","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-05-01","19.610000610351562","11.350000381469727","15.479999542236328","5.300000190734863","93.80000305175781","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-06-01","26.559999465942383","18.059999465942383","22.309999465942383","125.5999984741211","6.300000190734863","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-07-01","29.1200008392334","21.549999237060547","25.34000015258789","217.10000610351562","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-08-01","26.489999771118164","19.610000610351562","23.049999237060547","146.1999969482422","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-09-01","24.110000610351562","15.930000305175781","20.020000457763672","69.19999694824219","18.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-10-01","16.489999771118164","8.109999656677246","12.300000190734863","1.7000000476837158","188.6999969482422","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-11-01","11.699999809265137","5.389999866485596","8.550000190734863","0.0","293.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1952-12-01","6.079999923706055","0.550000011920929","3.319999933242798","0.0","465.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-01-01","5.789999961853027","-0.09000000357627869","2.8499999046325684","0.0","480.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-02-01","6.860000133514404","-0.11999999731779099","3.369999885559082","0.0","419.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-03-01","8.9399995803833","2.880000114440918","5.909999847412109","0.0","385.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-04-01","13.949999809265137","6.829999923706055","10.390000343322754","0.0","238.3000030517578","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-05-01","19.739999771118164","12.550000190734863","16.139999389648438","10.800000190734863","78.69999694824219","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-06-01","25.09000015258789","16.65999984741211","20.8799991607666","90.4000015258789","14.100000381469727","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-07-01","28.200000762939453","20.239999771118164","24.219999313354492","182.39999389648438","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-08-01","27.389999389648438","19.389999389648438","23.389999389648438","156.6999969482422","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-09-01","24.200000762939453","16.549999237060547","20.3799991607666","84.5","23.100000381469727","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-10-01","18.90999984741211","10.960000038146973","14.930000305175781","5.300000190734863","110.69999694824219","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-11-01","13.09000015258789","5.260000228881836","9.170000076293945","0.0","274.79998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1953-12-01","7.869999885559082","1.350000023841858","4.610000133514404","0.0","425.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-01-01","3.0199999809265137","-4.230000019073486","-0.6000000238418579","0.0","587.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-02-01","7.650000095367432","0.07000000029802322","4.059999942779541","0.0","371.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-03-01","8.970000267028809","1.25","5.110000133514404","0.0","409.8999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-04-01","14.789999961853027","6.460000038146973","10.630000114440918","0.0","231.10000610351562","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-05-01","18.43000030517578","11.289999961853027","14.859999656677246","9.899999618530273","117.69999694824219","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-06-01","24.81999969482422","16.6200008392334","20.719999313354492","80.69999694824219","9.199999809265137","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-07-01","27.75","19.770000457763672","23.760000228881836","168.1999969482422","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-08-01","26.309999465942383","18.350000381469727","22.329999923706055","124.0","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-09-01","22.760000228881836","15.779999732971191","19.270000457763672","53.900001525878906","25.899999618530273","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-10-01","19.229999542236328","12.039999961853027","15.630000114440918","37.400001525878906","121.0999984741211","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-11-01","10.869999885559082","4.550000190734863","7.710000038146973","0.0","318.70001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1954-12-01","5.039999961853027","-0.8399999737739563","2.0999999046325684","0.0","503.20001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-01-01","2.430000066757202","-3.440000057220459","-0.5","0.0","584.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-02-01","4.71999979019165","-2.430000066757202","0.8700000047683716","0.0","454.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-03-01","8.819999694824219","1.2000000476837158","4.940000057220459","0.0","388.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-04-01","14.90999984741211","6.489999771118164","10.699999809265137","0.0","229.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-05-01","20.780000686645508","12.140000343322754","16.459999084472656","17.799999237060547","75.80000305175781","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-06-01","24.510000228881836","16.06999969482422","20.290000915527344","78.5999984741211","19.799999237060547","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-07-01","29.34000015258789","21.75","25.549999237060547","223.60000610351562","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-08-01","28.450000762939453","21.389999389648438","24.920000076293945","204.1999969482422","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-09-01","23.40999984741211","16.190000534057617","19.799999237060547","63.0","18.799999237060547","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-10-01","19.030000686645508","11.550000190734863","15.289999961853027","7.699999809265137","101.9000015258789","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-11-01","10.359999656677246","3.369999885559082","6.860000133514404","0.0","344.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1955-12-01","2.109999895095825","-4.46999979019165","-1.1799999475479126","0.0","604.9000244140625","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-01-01","3.0299999713897705","-2.4600000381469727","0.28999999165534973","0.0","559.4000244140625","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-02-01","5.539999961853027","-0.8500000238418579","2.3399999141693115","0.0","463.70001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-03-01","6.21999979019165","-0.6800000071525574","2.7699999809265137","0.0","482.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-04-01","11.649999618530273","4.329999923706055","7.989999771118164","0.0","310.29998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-05-01","17.299999237060547","9.0","13.149999618530273","7.800000190734863","168.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-06-01","24.649999618530273","17.0","20.829999923706055","93.0999984741211","18.299999237060547","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-07-01","25.5","18.700000762939453","22.100000381469727","121.5","4.800000190734863","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-08-01","26.809999465942383","19.489999771118164","23.149999618530273","151.60000610351562","2.200000047683716","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-09-01","21.610000610351562","14.460000038146973","18.030000686645508","47.20000076293945","56.20000076293945","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-10-01","17.770000457763672","10.050000190734863","13.90999984741211","1.399999976158142","138.39999389648438","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-11-01","11.1899995803833","4.929999828338623","8.0600004196167","0.0","308.20001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1956-12-01","7.940000057220459","1.5","4.71999979019165","0.0","422.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-01-01","1.2200000286102295","-5.440000057220459","-2.109999895095825","0.0","633.5999755859375","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-02-01","5.800000190734863","-0.8500000238418579","2.4700000286102295","0.0","444.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-03-01","8.850000381469727","1.6399999856948853","5.239999771118164","0.0","405.79998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-04-01","14.720000267028809","6.539999961853027","10.630000114440918","3.9000000953674316","235.10000610351562","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-05-01","20.149999618530273","11.800000190734863","15.970000267028809","18.600000381469727","91.69999694824219","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-06-01","25.549999237060547","17.989999771118164","21.770000457763672","115.0999984741211","11.899999618530273","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-07-01","27.760000228881836","19.93000030517578","23.850000381469727","171.0","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-08-01","25.479999542236328","18.059999465942383","21.770000457763672","108.5999984741211","2.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-09-01","23.709999084472656","16.719999313354492","20.209999084472656","85.80000305175781","29.399999618530273","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-10-01","16.950000762939453","9.520000457763672","13.100000381469727","1.7000000476837158","153.39999389648438","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-11-01","12.640000343322754","6.090000152587891","9.359999656677246","0.0","269.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1957-12-01","7.320000171661377","1.600000023841858","4.460000038146973","0.0","430.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-01-01","2.9100000858306885","-2.940000057220459","0.20999999344348907","0.0","525.7000122070312","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-02-01","0.7099999785423279","-5.239999771118164","-2.259999990463257","0.0","576.7000122070312","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-03-01","7.489999771118164","1.75","4.619999885559082","0.0","425.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-04-01","14.680000305175781","6.960000038146973","10.819999694824219","0.0","225.3000030517578","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-05-01","17.649999618530273","10.5600004196167","14.100000381469727","3.0999999046325684","134.1999969482422","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-06-01","22.709999084472656","14.859999656677246","18.780000686645508","37.5","24.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-07-01","28.18000030517578","20.56999969482422","24.3700008392334","187.1999969482422","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-08-01","27.260000228881836","19.829999923706055","23.549999237060547","161.60000610351562","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-09-01","23.459999084472656","15.449999809265137","19.450000762939453","54.20000076293945","20.700000762939453","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-10-01","16.399999618530273","9.069999694824219","12.729999542236328","3.299999952316284","176.89999389648438","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-11-01","11.59000015258789","5.5","8.75","0.0","268.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1958-12-01","2.119999885559082","-4.389999866485596","-1.1299999952316284","0.0","564.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-01-01","3.069999933242798","-3.6700000762939453","-0.49000000953674316","0.0","545.7999877929688","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-02-01","4.199999809265137","-4.320000171661377","-0.009999999776482582","0.0","476.8999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-03-01","8.319999694824219","0.33000001311302185","4.320000171661377","0.0","434.29998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-04-01","15.170000076293945","6.699999809265137","10.9399995803833","0.800000011920929","222.6999969482422","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-05-01","22.350000381469727","11.920000076293945","17.1299991607666","34.20000076293945","71.4000015258789","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-06-01","25.809999465942383","16.65999984741211","21.229999542236328","106.19999694824219","19.200000762939453","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-07-01","28.31999969482422","20.06999969482422","24.190000534057617","181.60000610351562","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-08-01","29.200000762939453","20.6299991607666","24.90999984741211","204.0","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-09-01","26.260000228881836","17.40999984741211","21.84000015258789","125.30000305175781","20.200000762939453","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-10-01","18.8700008392334","11.65999984741211","15.270000457763672","33.79999923706055","128.89999389648438","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-11-01","11.170000076293945","3.609999895095825","7.389999866485596","0.0","328.29998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1959-12-01","6.739999771118164","0.6000000238418579","3.6700000762939453","0.0","439.8999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-01-01","4.050000190734863","-1.6299999952316284","1.2100000381469727","0.0","530.9000244140625","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-02-01","5.909999847412109","-1.159999966621399","2.369999885559082","0.0","462.8999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-03-01","4.300000190734863","-2.8299999237060547","0.7400000095367432","0.0","545.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-04-01","16.18000030517578","6.71999979019165","11.449999809265137","3.5999999046325684","210.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-05-01","20.84000015258789","12.199999809265137","16.520000457763672","10.300000190734863","64.80000305175781","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-06-01","25.90999984741211","17.280000686645508","21.600000381469727","98.5999984741211","0.800000011920929","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-07-01","27.739999771118164","19.149999618530273","23.450000762939453","158.5","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-08-01","27.489999771118164","19.329999923706055","23.40999984741211","157.5","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-09-01","23.25","16.010000228881836","19.6299991607666","50.29999923706055","11.399999618530273","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-10-01","18.170000076293945","10.020000457763672","14.100000381469727","7.5","138.89999389648438","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-11-01","13.140000343322754","5.989999771118164","9.5600004196167","0.0","263.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1960-12-01","3.490000009536743","-4.199999809265137","-0.3499999940395355","0.0","579.2000122070312","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-01-01","0.6800000071525574","-5.539999961853027","-2.430000066757202","0.0","643.5999755859375","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-02-01","5.269999980926514","-1.9199999570846558","1.6699999570846558","0.0","466.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-03-01","8.289999961853027","0.8299999833106995","4.559999942779541","0.0","427.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-04-01","12.1899995803833","5.019999980926514","8.609999656677246","0.0","291.79998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-05-01","19.18000030517578","10.149999618530273","14.65999984741211","2.5","116.19999694824219","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-06-01","25.31999969482422","15.380000114440918","20.350000381469727","66.80000305175781","6.400000095367432","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-07-01","29.079999923706055","20.09000015258789","24.579999923706055","193.8000030517578","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-08-01","28.139999389648438","19.979999542236328","24.059999465942383","177.5","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-09-01","27.59000015258789","17.90999984741211","22.75","148.6999969482422","16.100000381469727","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-10-01","20.1299991607666","10.350000381469727","15.239999771118164","13.600000381469727","109.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-11-01","12.229999542236328","4.389999866485596","8.3100004196167","0.0","300.70001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1961-12-01","4.420000076293945","-2.059999942779541","1.1799999475479126","0.0","531.7000122070312","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-01-01","3.0399999618530273","-4.739999771118164","-0.8500000238418579","0.0","594.7000122070312","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-02-01","2.4800000190734863","-4.489999771118164","-1.0","0.0","541.4000244140625","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-03-01","8.729999542236328","-0.17000000178813934","4.28000020980835","0.0","435.70001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-04-01","13.90999984741211","4.860000133514404","9.390000343322754","0.0","268.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-05-01","22.420000076293945","11.279999732971191","16.850000381469727","36.099998474121094","82.19999694824219","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-06-01","26.940000534057617","16.75","21.850000381469727","111.30000305175781","5.900000095367432","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-07-01","27.920000076293945","17.760000228881836","22.84000015258789","140.0","0.30000001192092896","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-08-01","26.420000076293945","17.489999771118164","21.950000762939453","116.9000015258789","4.699999809265137","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-09-01","22.489999771118164","13.0600004196167","17.770000457763672","32.5","49.29999923706055","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-10-01","18.059999465942383","8.449999809265137","13.260000228881836","3.5999999046325684","161.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-11-01","9.930000305175781","1.7400000095367432","5.840000152587891","0.0","374.79998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1962-12-01","3.799999952316284","-3.759999990463257","0.17000000178813934","0.0","526.7999877929688","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-01-01","2.5999999046325684","-4.869999885559082","-1.1399999856948853","0.0","603.5999755859375","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-02-01","2.509999990463257","-6.230000019073486","-1.8600000143051147","0.0","565.4000244140625","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-03-01","9.319999694824219","1.2999999523162842","5.309999942779541","0.0","403.79998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-04-01","16.510000228881836","5.730000019073486","11.119999885559082","0.30000001192092896","216.8000030517578","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-05-01","20.889999389648438","9.869999885559082","15.380000114440918","12.800000190734863","104.30000305175781","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-06-01","26.8700008392334","16.260000228881836","21.56999969482422","100.80000305175781","3.799999952316284","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-07-01","29.729999542236328","18.760000228881836","24.25","183.3000030517578","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-08-01","27.3700008392334","17.469999313354492","22.420000076293945","127.30000305175781","0.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1963-09-01","22.149999618530273","12.4399995803833","17.290000915527344","33.900001525878906","65.0999984741211","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
